iter	Passed	Remaining
423	1408	1913
424	1410	1908
425	1411	1902
426	1413	1896
427	1415	1891
428	1418	1887
429	1419	1881
430	1421	1876
431	1423	1871
432	1424	1865
433	1426	1859
434	1427	1854
435	1429	1849
436	1432	1845
437	1433	1839
438	1435	1834
439	1437	1829
440	1439	1824
441	1440	1819
442	1442	1813
443	1445	1809
444	1446	1804
445	1448	1798
446	1449	1793
447	1451	1788
448	1454	1784
449	1456	1779
450	1458	1775
451	1460	1770
452	1461	1765
453	1463	1760
454	1465	1755
455	1468	1751
456	1470	1747
457	1472	1742
458	1474	1738
459	1476	1733
460	1477	1727
461	1479	1722
462	1483	1720
463	1486	1716
464	1488	1712
465	1490	1707
466	1492	1703
467	1494	1699
468	1497	1694
469	1499	1691
470	1502	1687
471	1503	1682
472	1505	1677
473	1506	1672
474	1508	1667
475	1510	1662
476	1511	1657
477	1513	1652
478	1515	1648
479	1517	1643
480	1518	1638
481	1520	1634
482	1522	1629
483	1524	1624
484	1525	1620
485	1527	1615
486	1529	1610
487	1530	1606
488	1532	1601
489	1534	1596
490	1535	1592
491	1537	1587
492	1539	1583
493	1541	1579
494	1543	1575
495	1545	1570
496	1547	1565
497	1548	1561
498	1550	1556
499	1551	1551
500	1553	1547
501	1555	1542
502	1556	1538
503	1558	1534
504	1560	1529
505	1561	1524
506	1563	1520
507	1565	1515
508	1566	1511
509	1568	1506
510	1569	1502
511	1571	1498
512	1573	1493
513	1575	1489
514	1576	1485
515	1578	1480
516	1580	1476
517	1581	1471
518	1583	1467
519	1585	1463
520	1587	1459
521	1589	1455
522	1590	1450
523	1591	1446
524	1593	1441
525	1595	1437
526	1596	1433
527	1598	1428
528	1600	1424
529	1602	1420
530	1603	1416
531	1605	1412
532	1606	1407
533	1608	1403
534	1610	1399
535	1612	1395
536	1614	1391
537	1616	1387
538	1618	1383
539	1620	1380
540	1621	1376
541	1623	1372
542	1625	1367
543	1628	1365
544	1630	1360
545	1631	1356
546	1633	1352
547	1635	1349
548	1637	1345
549	1639	1341
550	1642	1338
551	1645	1335
552	1647	1331
553	1648	1327
554	1650	1323
555	1652	1319
556	1654	1315
557	1656	1312
558	1658	1308
559	1661	1305
560	1663	1301
561	1665	1297
562	1667	1294
563	1669	1290
564	1671	1287
565	1673	1283
566	1675	1279
567	1676	1275
568	1678	1271
569	1680	1267
570	1681	1263
571	1683	1259
572	1685	1256
573	1687	1252
574	1688	1248
575	1690	1244
576	1692	1240
577	1693	1236
578	1695	1232
579	1696	1228
580	1698	1225
581	1700	1221
582	1701	1217
583	1703	1213
584	1705	1209
585	1706	1205
586	1708	1202
587	1710	1198
588	1712	1195
589	1714	1191
590	1715	1187
591	1717	1183
592	1718	1179
593	1720	1175
594	1722	1172
595	1723	1168
596	1725	1164
597	1727	1161
598	1729	1157
599	1731	1154
600	1732	1150
601	1734	1146
602	1736	1143
603	1737	1139
604	1739	1135
605	1742	1132
606	1743	1128
607	1745	1125
608	1747	1121
609	1748	1117
610	1750	1114
611	1752	1110
612	1754	1107
613	1756	1104
614	1758	1100
615	1760	1097
616	1762	1094
617	1764	1090
618	1765	1086
619	1767	1083
620	1769	1079
621	1771	1076
622	1772	1072
623	1774	1069
624	1784	1070
625	1787	1067
626	1788	1064
627	1790	1060
628	1792	1057
629	1794	1053
630	1795	1050
631	1798	1047
632	1800	1043
633	1802	1040
634	1803	1036
635	1805	1033
636	1807	1029
637	1808	1026
638	1810	1022
639	1812	1019
640	1814	1016
641	1816	1012
642	1818	1009
643	1820	1006
644	1822	1002
645	1823	999
646	1824	995
647	1826	992
648	1828	988
649	1830	985
650	1832	982
651	1833	978
652	1835	975
653	1837	972
654	1839	968
655	1841	965
656	1843	962
657	1845	959
658	1847	956
659	1849	952
660	1851	949
661	1852	945
662	1854	942
663	1856	939
664	1858	936
665	1859	932
666	1861	929
667	1863	925
668	1864	922
669	1866	919
670	1868	915
671	1870	912
672	1872	909
673	1873	906
674	1875	902
675	1877	899
676	1878	896
677	1880	892
678	1881	889
679	1883	886
680	1885	883
681	1886	879
682	1888	876
683	1890	873
684	1891	870
685	1893	866
686	1895	863
687	1897	860
688	1898	857
689	1900	853
690	1902	850
691	1904	847
692	1906	844
693	1907	841
694	1911	838
695	1913	835
696	1915	832
697	1916	829
698	1918	826
699	1920	822
700	1922	819
701	1924	816
702	1926	813
703	1928	810
704	1929	807
705	1931	804
706	1933	801
707	1934	797
708	1936	794
709	1938	791
710	1940	788
711	1942	785
712	1944	782
713	1946	779
714	1947	776
715	1949	773
716	1951	770
717	1953	767
718	1955	764
719	1956	760
720	1958	757
721	1959	754
722	1961	751
723	1963	748
724	1965	745
725	1968	742
726	1970	739
727	1972	736
728	1974	733
729	1975	730
730	1977	727
731	1980	725
732	1982	722
733	1984	719
734	1985	715
735	1987	712
736	1989	709
737	1991	706
738	1993	703
739	1995	701
740	1997	698
741	1999	695
742	2001	692
743	2003	689
744	2005	686
745	2006	683
746	2008	680
747	2010	677
748	2012	674
749	2013	671
750	2015	668
751	2016	665
752	2018	662
753	2020	659
754	2021	656
755	2023	653
756	2025	650
757	2027	647
758	2029	644
759	2031	641
760	2033	638
761	2034	635
762	2036	632
763	2038	629
764	2040	626
765	2041	623
766	2043	620
767	2044	617
768	2046	614
769	2048	611
770	2049	608
771	2052	606
772	2053	603
773	2055	600
774	2057	597
775	2058	594
776	2060	591
777	2061	588
778	2063	585
779	2065	582
780	2067	579
781	2068	576
782	2070	573
783	2071	570
784	2073	567
785	2075	564
786	2076	562
787	2078	559
788	2080	556
789	2082	553
790	2083	550
791	2085	547
792	2087	544
793	2088	541
794	2090	539
795	2092	536
796	2094	533
797	2095	530
798	2097	527
799	2099	524
800	2100	521
801	2102	519
802	2103	516
803	2105	513
804	2107	510
805	2109	507
806	2111	504
807	2113	502
808	2114	499
809	2116	496
810	2118	493
811	2119	490
812	2121	488
813	2123	485
814	2125	482
815	2126	479
816	2128	476
817	2130	473
818	2131	471
819	2133	468
820	2135	465
821	2136	462
822	2138	459
823	2140	457
824	2141	454
825	2143	451
826	2145	448
827	2146	445
828	2148	443
829	2150	440
830	2153	437
